date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:04:40	121/121	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Sep%202025%2012:03:49%20GMT	https://hb8-automation.comrobots.txt		(from )
14:04:41	460742/460742	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Sep%202025%2012:03:51%20GMT	https://hb8-automation.com	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/index.html	(from )
14:04:42	1994495/1994495	---MCZ	200	added ('OK')	text/css	etag:W/%2268da43fd-1e6eff%22	https://hb8-automation.comwp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1759134717	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.minf91f.css	(from https://hb8-automation.com)
14:04:42	34036/34036	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comwp-json/wp/v2/pages/125	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-json/wp/v2/pages/125.json	(from https://hb8-automation.com)
14:04:42	162/162	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comxmlrpc.php?rsd	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/xmlrpc0db0.php	(from https://hb8-automation.com)
14:04:43	2209/2209	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comwp-json/oembed/1.0/embed?url=https%3A%2F%2Fvisura-media.10web.cloud%2F	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-json/oembed/1.0/embed034a.json	(from https://hb8-automation.com)
14:04:43	162/162	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comcomments/feed/	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/comments/feed/index.html	(from https://hb8-automation.com)
14:04:43	278790/278790	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comwp-json/	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-json/index.html	(from https://hb8-automation.com)
14:04:43	2371/2371	---MCZ	200	added ('OK')	text/xml	date:Mon,%2029%20Sep%202025%2012:03:52%20GMT	https://hb8-automation.comwp-json/oembed/1.0/embed?url=https%3A%2F%2Fvisura-media.10web.cloud%2F&format=xml	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-json/oembed/1.0/embedf5ff	(from https://hb8-automation.com)
14:04:43	37956/37956	---M--	200	added ('OK')	application/octet-stream	etag:%2268d6ae9f-9444%22	https://hb8-automation.comwp-content/uploads/elementor/google-fonts/fonts/montserrat-49e242af.woff2	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/elementor/google-fonts/fonts/montserrat-49e242af.woff2	(from https://hb8-automation.com)
14:04:43	48256/48256	---M--	200	added ('OK')	application/octet-stream	etag:%2268d6b603-bc80%22	https://hb8-automation.comwp-content/uploads/elementor/google-fonts/fonts/inter-6ab57b19.woff2	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/elementor/google-fonts/fonts/inter-6ab57b19.woff2	(from https://hb8-automation.com)
14:04:43	19004/19004	---M--	200	added ('OK')	application/octet-stream	etag:%2268d9a18f-4a3c%22	https://hb8-automation.comwp-content/uploads/elementor/google-fonts/fonts/mooli-5fd8f5ef.woff2	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/elementor/google-fonts/fonts/mooli-5fd8f5ef.woff2	(from https://hb8-automation.com)
14:04:43	873/873	---MC-	200	added ('OK')	application/rss+xml	etag:%223d9bf13067bf02b82c8bda13efce0288%22	https://hb8-automation.comfeed/	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/feed/index.html	(from https://hb8-automation.com)
14:04:46	44122/44122	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Sep%202025%2012:03:55%20GMT	https://hb8-automation.comGET	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/GET	(from https://hb8-automation.com)
14:04:46	15014/15014	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268d6ae77-3aa6%22	https://hb8-automation.comwp-content/uploads/2025/09/logo_XQ80Qka4.svg	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/2025/09/logo_XQ80Qka4.svg	(from https://hb8-automation.com)
14:04:46	73776/73776	---M--	200	added ('OK')	image/webp	etag:%2268d6ae78-12030%22	https://hb8-automation.comwp-content/uploads/2025/09/tenweb_media_sr9kpfne3.webp	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/2025/09/tenweb_media_sr9kpfne3.webp	(from https://hb8-automation.com)
14:04:46	94386/94386	---M--	200	added ('OK')	image/webp	etag:%2268d6ae78-170b2%22	https://hb8-automation.comwp-content/uploads/2025/09/tenweb_media_suz6ghekt.webp	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/uploads/2025/09/tenweb_media_suz6ghekt.webp	(from https://hb8-automation.com)
14:04:46	8892/8892	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268d6ab3b-22bc%22	https://hb8-automation.comwp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/lazyload.min.js	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/lazyload.min.js	(from https://hb8-automation.com)
14:04:47	3243/3243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268d6ab3b-cab%22	https://hb8-automation.comwp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/two_bg_vanilla.js	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/wp-content/plugins/tenweb-speed-optimizer/includes/external/js/vanilla-lazyload/two_bg_vanilla.js	(from https://hb8-automation.com)
14:04:47	162/162	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Mon,%2029%20Sep%202025%2012:03:56%20GMT	https://hb8-automation.comkontakt/	C:/Users/hBonj/OneDrive/Desktop/my%20website/vt1/vt1/visura-media.10web.cloud/kontakt/index.html	(from https://hb8-automation.com)
